"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate","createdby"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-22-001033","BPA1","2022-02-22","2022-02-22","PENDING_ARCHITECT_ACTION_FOR_REWORK",NULL,NULL,"04a77734-e1da-4d41-bd62-ccf63f844cd0"
"Bhubaneswar","BP-BMC-2022-07-02-005666","BPA2","2022-07-02",NULL,"PENDING_APPL_FEE",NULL,NULL,"3f514a75-e9fa-4fe5-92b8-2cd2ba3f06a6"
"Bhubaneswar","BP-BMC-2022-07-07-005890","BPA1","2022-07-07","2022-07-08","APPROVAL_INPROGRESS",NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c"
"Bhubaneswar","BP-BMC-2022-04-06-002286","BPA1","2022-04-06","2022-04-07","FIELDINSPECTION_INPROGRESS",NULL,NULL,"119d1eaa-db3c-48fd-8fa5-af73bf07d0ac"
"Berhampur","BP-BAM-2022-04-27-002929","BPA1","2022-04-27","2022-04-28","PENDING_SANC_FEE_PAYMENT",NULL,NULL,"f1a434a0-8a91-4e6f-95f1-699260b1a554"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-07-002298","BPA1","2022-04-07","2022-04-07","APPROVED","BP/BDA/000339","2022-07-11","db2c708e-b12b-49c0-9b88-71f5dfe5f00c"
"Berhampur","BP-BAM-2022-06-13-004654","BPA1","2022-06-13","2022-06-13","APPROVAL_INPROGRESS",NULL,NULL,"9c00d59a-d3ef-4671-9885-24d549d99639"
"Bhubaneswar","BP-BMC-2022-03-12-001634","BPA1","2022-03-12","2022-03-22","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL,"0ab33c0f-8b61-47c1-8ac0-72087784baef"
"Bhubaneswar","BP-BMC-2022-05-18-003684","BPA1","2022-05-18","2022-05-19","APPROVAL_INPROGRESS",NULL,NULL,"0ab33c0f-8b61-47c1-8ac0-72087784baef"
"Berhampur","BP-BAM-2022-04-01-002108","BPA1","2022-04-01","2022-05-10","APPROVED","BP/BAM/000361","2022-07-14","9130547b-3a6b-4929-a740-83de41fa99a4"
"Bhubaneswar","BP-BMC-2022-07-02-005665","BPA2","2022-07-02","2022-07-06","FIELDINSPECTION_INPROGRESS",NULL,NULL,"a5568cc5-e1af-4448-877d-4e9d8352e187"
"Bhubaneswar","BP-BMC-2022-03-12-001628","BPA1","2022-03-12","2022-04-20","APPROVAL_INPROGRESS",NULL,NULL,"0ab33c0f-8b61-47c1-8ac0-72087784baef"
"Berhampur","BP-BAM-2022-07-02-005637","BPA1","2022-07-02","2022-07-02","APPROVAL_INPROGRESS",NULL,NULL,"afacb7a2-1679-4062-b62d-16794c77dae2"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-07-25-006545","BPA1","2022-07-25",NULL,"INITIATED",NULL,NULL,"db32f08c-247e-421a-bf45-14455d8309d6"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-06-02-004000","BPA1","2022-06-02","2022-06-03","APPROVAL_INPROGRESS",NULL,NULL,"57997602-12ff-4912-b992-ed1611c41f10"
"Bhubaneswar","BP-BMC-2022-03-30-002034","BPA1","2022-03-30","2022-04-13","APPROVED","BP/BMC/000423","2022-07-22","0ab33c0f-8b61-47c1-8ac0-72087784baef"
"Bhubaneswar","BP-BMC-2022-07-16-006210","BPA1","2022-07-16",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"0ab33c0f-8b61-47c1-8ac0-72087784baef"
