"businessservice","business","tenantid","uuid","geturi","posturi","createdby","createdtime","lastmodifiedby","lastmodifiedtime","businessservicesla"
STRUCTURALENGINEER,BPAREG,od,a3f51620-6584-484c-a659-cea4090db644,,,"095132c5-6c6a-4e63-861c-50119e81879b",1609053791682,"095132c5-6c6a-4e63-861c-50119e81879b",1609053791682,2592000000
SUPERVISOR,BPAREG,od,"4a7aceca-c112-444c-b696-c6062293b5e8",,,"095132c5-6c6a-4e63-861c-50119e81879b",1609053791682,"095132c5-6c6a-4e63-861c-50119e81879b",1609053791682,
SWCloseConnection,sw-services,od,"57eae5fc-b69e-410b-8139-9c507c9297f2",,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1626764108660,"5897e5c7-9da5-4991-99f9-c66312b1e061",1626764108660,259200000
SWDisconnection,sw-services,od,c6f18bfd-8de2-43fe-a4ae-a31848cee672,,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1626764088870,"5897e5c7-9da5-4991-99f9-c66312b1e061",1626764088870,259200000
SWOwnershipChange,sw-services,od,"7265e1eb-1e47-4e85-89e9-e2a1fa12481f",,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1626764074621,"5897e5c7-9da5-4991-99f9-c66312b1e061",1626764074621,259200000
SWReconnection,sw-services,od,"5cff4c9a-0fe7-47f4-9f6a-b3f8fc2f5a1b",,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1626764053944,"5897e5c7-9da5-4991-99f9-c66312b1e061",1626764053944,259200000
TECHNICALPERSON,BPAREG,od,c9dd454f-e40c-475a-83b1-7e11f74a7992,,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1623664851628,"5897e5c7-9da5-4991-99f9-c66312b1e061",1623664851628,2592000000
TOWNPLANNER,BPAREG,od,f639f804-ca0a-4bce-98c6-71b1950b7ba7,,,"095132c5-6c6a-4e63-861c-50119e81879b",1609053791682,"095132c5-6c6a-4e63-861c-50119e81879b",1609053791682,2592000000
WRD_NOC_OFFLINE,noc-services,od,"8c8db6ba-8222-4ff8-a423-1455d0ddb510",,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1631098599137,"5897e5c7-9da5-4991-99f9-c66312b1e061",1631098599137,5184000000
WSCloseConnection,ws-services,od,"19031656-2543-476a-8fd4-091414d218a8",,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1626764100040,"5897e5c7-9da5-4991-99f9-c66312b1e061",1626764100040,259200000
WSDisconnection,ws-services,od,"2573284f-560d-4791-88fb-2f78af4dbd51",,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1626764081968,"5897e5c7-9da5-4991-99f9-c66312b1e061",1626764081968,259200000
WSOwnershipChange,ws-services,od,a4f064fd-f30a-4c34-8135-3f9ad8275bbd,,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1626764065546,"5897e5c7-9da5-4991-99f9-c66312b1e061",1626764065546,259200000
WSReconnection,ws-services,od,c2a85369-3885-4272-b7ff-fcffed9505ef,,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1626764040331,"5897e5c7-9da5-4991-99f9-c66312b1e061",1626764040331,259200000
WSReplaceMeter,ws-services,od,c24793e8-25b4-442f-8a4b-2ea1bf54332e,,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1647870147705,"5897e5c7-9da5-4991-99f9-c66312b1e061",1647870147705,259200000
