"id","filestoreid","filename","contenttype","version","createddate"
3700,"1d22c0ea-0012-4651-b13d-229cca5adccb","00997-2021-SB-v1.pdf","application/pdf",0,"2021-02-01 20:34:28.356"
3701,"b7e4a470-e969-42fd-94d1-28898274c113","plandetail.txt","text/plain",0,"2021-02-01 20:35:29.546"
3702,"ffea981a-7928-493d-ae67-0284d9b2918b","01001-2021-OJ-v1.pdf","application/pdf",0,"2021-02-01 20:35:29.466"
3703,"7ccdd4df-b334-4881-8ec0-3fa15b17b862","plandetail.txt","text/plain",0,"2021-02-01 20:35:29.594"
3704,"70cf6aa9-3554-4499-b512-a5b948d25f39","01000-2021-XZ-v1.pdf","application/pdf",0,"2021-02-01 20:35:29.542"
3705,"07cabad5-46fb-484b-b38a-62b14149def8","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:34:28.505"
3706,"0400d511-7d44-4cdf-9dbb-616b0b7d9177","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:35:29.633"
3707,"23ea770d-052e-4980-aa2b-43d3dca30984","plandetail.txt","text/plain",0,"2021-02-01 20:35:29.671"
3708,"f5344c10-b8e0-43c3-9555-6b12bbd6a42d","00999-2021-XN-v1.pdf","application/pdf",0,"2021-02-01 20:35:29.635"
3709,"0968f73c-f1aa-45c8-931d-1e97ada33819","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:35:29.698"
3710,"70fe4b6c-170a-4dfd-80ce-95c3f9016e4b","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:35:29.728"
3711,"62f48e66-2041-49f9-a4c4-98ef681c5f14","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:35:29.769"
3712,"4a597725-cabd-4825-8550-636b9bbbca65","plandetail.txt","text/plain",0,"2021-02-01 20:34:28.805"
3713,"6d2a9853-7495-42d1-aeaa-41e2fc4ece59","01002-2021-ZF-v1.pdf","application/pdf",0,"2021-02-01 20:34:28.782"
3714,"80786d98-3af2-4306-8dcc-fa8257f3d011","plandetail.txt","text/plain",0,"2021-02-01 20:34:28.947"
3715,"bfdf8c79-ca0c-475f-a894-7f23f60de654","01003-2021-VR-v1.pdf","application/pdf",0,"2021-02-01 20:34:28.918"
3716,"7af34522-69c0-4cf6-93b8-6eddfeb6a215","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:34:28.98"
3717,"904bae8d-71b6-4f8c-a6ab-af6e868d4b44","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:34:29.067"
3718,"18a140c4-1636-4e9e-a5cb-9c47c75ba934","plandetail.txt","text/plain",0,"2021-02-01 20:34:29.248"
3719,"c076b103-261a-4054-ad35-79007b930958","01004-2021-MR-v1.pdf","application/pdf",0,"2021-02-01 20:34:29.22"
3720,"5cab7533-18c0-4436-b266-93b2d1dd47d7","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:34:29.367"
3721,"1c636133-f3c9-422b-a12b-ccd96c23516a","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:34:35.855"
3722,"2f0d6c97-54e7-48c2-ae83-fc81c7e18eb6","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:35:37.247"
3723,"b9d635c2-867f-41d7-8a0a-f5901b4cb3fc","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:34:36.305"
3724,"a5760657-518b-4da4-adb3-4f6ff151fe04","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:35:37.371"
3725,"897e20ca-8d75-4744-9034-01e498addfff","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:34:36.548"
3726,"90cad462-997d-4292-b598-2fe1c43bea9e","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:34:36.762"
