"applicationno","id","documenttype","filestoreid","documentuid","buildingplanid","additionaldetails","createdby","lastmodifiedby","createdtime","lastmodifiedtime"
"BP-BDA-2022-04-08-002363","a195a72c-1934-415b-8261-7780aa437106","APPL.IDENTITYPROOF.DRIVINGLICENSE","63dd3423-5695-4ea0-b467-751ae4bf9170",NULL,"79735a7f-587b-459c-b53c-6c980f9416fc","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649417786159}","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1649417360453,1658544622754
"BP-BDA-2022-04-08-002363","736aa546-d625-4b6a-ab71-6e43444f2ceb","APPL.LANDPOSSAFFI.LANDPOSSAFFI","56940fd9-a029-4ab2-b174-1669589d1e8b",NULL,"79735a7f-587b-459c-b53c-6c980f9416fc","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649417947526}","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1649417360453,1658544622754
"BP-BDA-2022-04-08-002363","963c25ba-1934-40de-8250-1fa126e39c5d","APPL.OTHERDOCUMENT","9a996192-148a-46f6-b052-51b6216e03e7",NULL,"79735a7f-587b-459c-b53c-6c980f9416fc","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1658233414201}","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1649417360453,1658544622754
"BP-BDA-2022-04-08-002363","3797145e-d2e8-4c87-8728-f5ddc18480e2","APPL.OTHERDOCUMENT","9a996192-148a-46f6-b052-51b6216e03e7",NULL,"79735a7f-587b-459c-b53c-6c980f9416fc","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1658233414201}","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1649417360453,1658544622754
"BP-BDA-2022-04-08-002363","9e8c03b9-855e-4152-ae7e-077cee1f5b34","APPL.OTHERDOCUMENT","9a996192-148a-46f6-b052-51b6216e03e7",NULL,"79735a7f-587b-459c-b53c-6c980f9416fc","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1658233414201}","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1649417360453,1658544622754
"BP-BDA-2022-04-08-002363","62a3fad7-2b61-40ef-b73b-6bf8f67b88e5","APPL.OWNERIDPROOF.DRIVINGLICENSE","d076ec08-a12b-4fc1-8950-62e50b8988d9",NULL,"79735a7f-587b-459c-b53c-6c980f9416fc","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649417796115}","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1649417360453,1658544622754
"BP-BDA-2022-04-08-002363","8e00861d-dc61-4847-847a-3440125046e9","APPL.REVSITEPLAN.REVSITEPLAN","7014afda-910d-443f-b45b-9e96f56dafc1",NULL,"79735a7f-587b-459c-b53c-6c980f9416fc","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649417939150}","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1649417360453,1658544622754
"BP-BDA-2022-04-08-002363","7fad8d10-a5df-40be-8bc0-14edae9fab27","APPL.ROR.ROR","9b54ab09-3610-4400-b9db-066dfe454128",NULL,"79735a7f-587b-459c-b53c-6c980f9416fc","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649417812574}","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1649417360453,1658544622754
"BP-BDA-2022-04-08-002363","3099f895-2f96-4818-8efb-18d0b73173ed","APPL.SALEGIFTDEED.SALEGIFTDEED","076c9ea9-546e-4882-9728-7f2470cd6874",NULL,"79735a7f-587b-459c-b53c-6c980f9416fc","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649417820379}","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1649417360453,1658544622754
"BP-BDA-2022-04-08-002363","7dfcdcf8-f8d1-4884-9468-f7fa5651b54f","BPD.3RDPARTYSTRUCCERT.3RDPARTYSTRUCCERT","18db73ac-572b-49c6-80a9-2892c8f78355",NULL,"79735a7f-587b-459c-b53c-6c980f9416fc","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649418068766}","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1649417360453,1658544622754
"BP-BDA-2022-04-08-002363","8bb6f3c8-91c2-413f-bbc8-f209e04d5fb4","BPD.BPL.BPL","f673538b-bcc4-4595-94a5-dfbc24c3f9b4",NULL,"79735a7f-587b-459c-b53c-6c980f9416fc","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649417963645}","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1649417360453,1658544622754
"BP-BDA-2022-04-08-002363","86610711-c63d-4001-83c8-89e6270ffab7","BPD.LP.LP","f76eb53f-f20e-4bb5-92a5-5787277897cf",NULL,"79735a7f-587b-459c-b53c-6c980f9416fc","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649417975439}","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1649417360453,1658544622754
"BP-BDA-2022-04-08-002363","c9168069-1294-4c00-bfbe-3ec576dde50c","BPD.MATSPEC.MATSPEC","55d4df50-ed1e-435f-9d6b-6c2c7b5d5a91",NULL,"79735a7f-587b-459c-b53c-6c980f9416fc","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649417983336}","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1649417360453,1658544622754
"BP-BDA-2022-04-08-002363","5be49bb3-3e74-40d9-a2c5-b71bf9d76220","BPD.SITEPHOTO.SITEPHOTO","4391c9ba-3088-43eb-b342-818245cb98b4",NULL,"79735a7f-587b-459c-b53c-6c980f9416fc","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649417988593}","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1649417360453,1658544622754
"BP-BDA-2022-04-08-002363","b9f0ef37-472c-46e4-913c-d85f645b7b7d","BPD.SP.SP","90e1914a-d9df-4690-9646-a78bd22094d4",NULL,"79735a7f-587b-459c-b53c-6c980f9416fc","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649417968817}","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1649417360453,1658544622754
"BP-BDA-2022-04-08-002363","9104a0ba-e4bb-4b75-948b-7c6241ffea01","BPD.SSTABCERT.SSTABCERT","9bb3c948-a711-494d-aa61-0413f6d12ef4",NULL,"79735a7f-587b-459c-b53c-6c980f9416fc","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649418003949}","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1649417360453,1658544622754
"BP-BDA-2022-04-08-002363","83233a18-9671-43fe-a524-185dd184981b","BPD.SSUPCERT.SSUPCERT","8f79bf3c-305b-43ac-b3fb-fd6e72831c0d",NULL,"79735a7f-587b-459c-b53c-6c980f9416fc","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649417995744}","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1649417360453,1658544622754
"BP-BDA-2022-04-10-002396","c008ede8-ccb1-4753-ba4d-9e4b7de2382a","ADDL.APPROVEDLAYOUT.APPROVEDLAYOUT","a5ddc3c6-03d5-4973-8760-d2e70a48636a",NULL,"8b04244e-c548-46aa-808d-281238ccded4","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649577378898}","824f170e-6cfe-48f0-a164-979643eacf26","824f170e-6cfe-48f0-a164-979643eacf26",1649575510350,1654090131942
"BP-BDA-2022-04-10-002396","5bc587b4-c2d7-44ff-8d8b-dbd043fed09d","ADDL.BENCHMARKCERTIFICATE.BENCHMARKCERTIFICATE","99ae0990-3fa7-42fc-a61a-de0ea5ccf11a",NULL,"8b04244e-c548-46aa-808d-281238ccded4","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649577409279}","824f170e-6cfe-48f0-a164-979643eacf26","824f170e-6cfe-48f0-a164-979643eacf26",1649575510350,1654090131942
"BP-BDA-2022-04-10-002396","38a00b1d-0c67-463b-ae13-3bc15a252475","ADDL.POSSESSIONLETTER.POSSESSIONLETTER","29aa344d-4d5a-4e8f-82c0-748a9721d1db",NULL,"8b04244e-c548-46aa-808d-281238ccded4","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649577259189}","824f170e-6cfe-48f0-a164-979643eacf26","824f170e-6cfe-48f0-a164-979643eacf26",1649575510350,1654090131942
"BP-BDA-2022-04-10-002396","ca3e40ca-38ba-4251-bc1c-f5f34296ddc5","APPL.IDENTITYPROOF.DRIVINGLICENSE","af0badcb-6ad4-4bd0-84e6-84e2eaa894f1",NULL,"8b04244e-c548-46aa-808d-281238ccded4","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649576916394}","824f170e-6cfe-48f0-a164-979643eacf26","824f170e-6cfe-48f0-a164-979643eacf26",1649575510350,1654090131942
"BP-BDA-2022-04-10-002396","0a2b9e58-4b73-4ea4-a1d7-8930b85318bc","APPL.LANDPOSSAFFI.LANDPOSSAFFI","e06583fc-b461-4eb5-9d57-b34acb90a978",NULL,"8b04244e-c548-46aa-808d-281238ccded4","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649577061615}","824f170e-6cfe-48f0-a164-979643eacf26","824f170e-6cfe-48f0-a164-979643eacf26",1649575510350,1654090131942
"BP-BDA-2022-04-10-002396","1b87f2e7-a9f2-4231-95f3-22e94fba7f10","APPL.OTHERDOCUMENT","3eb15d91-6ee6-4cd6-8c90-5ef0cc465af6",NULL,"8b04244e-c548-46aa-808d-281238ccded4","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649577185754}","824f170e-6cfe-48f0-a164-979643eacf26","824f170e-6cfe-48f0-a164-979643eacf26",1649575510350,1654090131942
"BP-BDA-2022-04-10-002396","0d81724c-d784-4811-9391-99b2ab491f23","APPL.REVSITEPLAN.REVSITEPLAN","b331ff14-024d-4375-80ce-bd71bf58dd7f",NULL,"8b04244e-c548-46aa-808d-281238ccded4","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649577053998}","824f170e-6cfe-48f0-a164-979643eacf26","824f170e-6cfe-48f0-a164-979643eacf26",1649575510350,1654090131942
"BP-BDA-2022-04-10-002396","848a270c-1c4a-4ae8-9fe7-a59de89eedce","APPL.ROR.ROR","bf23a7fc-3e49-462b-95e8-31189b613a17",NULL,"8b04244e-c548-46aa-808d-281238ccded4","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649576956952}","824f170e-6cfe-48f0-a164-979643eacf26","824f170e-6cfe-48f0-a164-979643eacf26",1649575510350,1654090131942
"BP-BDA-2022-04-10-002396","d0e274dd-4027-4139-bba1-88cd27233f68","APPL.SALEGIFTDEED.SALEGIFTDEED","5eb0d681-35ad-46d9-a88a-947ebb12440a",NULL,"8b04244e-c548-46aa-808d-281238ccded4","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649576991979}","824f170e-6cfe-48f0-a164-979643eacf26","824f170e-6cfe-48f0-a164-979643eacf26",1649575510350,1654090131942
"BP-BDA-2022-04-10-002396","1801bf90-5399-41db-a6ea-4363b8e49536","BPD.3RDPARTYSTRUCCERT.3RDPARTYSTRUCCERT","9d7f0fc4-bbfe-45c8-bb0f-12be7dc44c18",NULL,"8b04244e-c548-46aa-808d-281238ccded4","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649577480326}","824f170e-6cfe-48f0-a164-979643eacf26","824f170e-6cfe-48f0-a164-979643eacf26",1649575510350,1654090131942
"BP-BDA-2022-04-10-002396","ce941796-3d1e-41e8-897c-6dd8395abcb8","BPD.BPL.BPL","9485018d-a4ce-42cd-8434-fb95fa08302d",NULL,"8b04244e-c548-46aa-808d-281238ccded4","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1653015230229}","824f170e-6cfe-48f0-a164-979643eacf26","824f170e-6cfe-48f0-a164-979643eacf26",1649575510350,1654090131942
"BP-BDA-2022-04-10-002396","54037ec7-a104-4a55-a550-805d44205217","BPD.BPL.BPL","9485018d-a4ce-42cd-8434-fb95fa08302d",NULL,"8b04244e-c548-46aa-808d-281238ccded4","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1653015230229}","824f170e-6cfe-48f0-a164-979643eacf26","824f170e-6cfe-48f0-a164-979643eacf26",1649575510350,1654090131942
"BP-BDA-2022-04-10-002396","74bf0d39-082f-46b8-9f76-e9e4a1645dce","BPD.BPL.BPL","369a058a-13a0-44d5-b636-aa733716faa6",NULL,"8b04244e-c548-46aa-808d-281238ccded4","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649577119127}","824f170e-6cfe-48f0-a164-979643eacf26","824f170e-6cfe-48f0-a164-979643eacf26",1649575510350,1654090131942
"BP-BDA-2022-04-10-002396","2d1fdf74-39d2-4ea6-a5cb-6e7356697472","BPD.LP.LP","01a73ef8-da79-446e-a9c0-6b7088742100",NULL,"8b04244e-c548-46aa-808d-281238ccded4","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649577213776}","824f170e-6cfe-48f0-a164-979643eacf26","824f170e-6cfe-48f0-a164-979643eacf26",1649575510350,1654090131942
"BP-BDA-2022-04-10-002396","489c25f4-a9c9-4f1b-b65b-236560a7296a","BPD.MATSPEC.MATSPEC","5b308d3d-b771-4f62-b8f7-219df63ca678",NULL,"8b04244e-c548-46aa-808d-281238ccded4","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649577221574}","824f170e-6cfe-48f0-a164-979643eacf26","824f170e-6cfe-48f0-a164-979643eacf26",1649575510350,1654090131942
"BP-BDA-2022-04-10-002396","26b53f3e-f50e-46b3-817b-befdf2228c08","BPD.SITEPHOTO.SITEPHOTO","0eea4a25-77c6-4ef3-9f21-6d5e4cda87a7",NULL,"8b04244e-c548-46aa-808d-281238ccded4","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649577504230}","824f170e-6cfe-48f0-a164-979643eacf26","824f170e-6cfe-48f0-a164-979643eacf26",1649575510350,1654090131942
"BP-BDA-2022-04-10-002396","b2915fbb-e9be-485d-860a-43914cc053fa","BPD.SP.SP","c83d7b43-6523-4f6d-bf94-c2a6b482def6",NULL,"8b04244e-c548-46aa-808d-281238ccded4","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649577205430}","824f170e-6cfe-48f0-a164-979643eacf26","824f170e-6cfe-48f0-a164-979643eacf26",1649575510350,1654090131942
