"id","tenantid","billid","businessservice","billno","billdate","consumercode","consumertype","billdescription","displaymessage","minimumamount","totalamount","callbackforapportioning","partpaymentallowed","collectionmodesnotallowed","createdby","createddate","lastmodifiedby","lastmodifieddate","receiptdate","receiptnumber","fromperiod","toperiod","demandid","isadvanceallowed","expirydate","additionaldetails"
"832e04f1-e4f3-4c34-a004-6e13187c345b","od.bhubaneswar","9be8795f-b109-4f60-8681-ef78bd79494c","BPA.NC_SAN_FEE","BILLNO-BPA.NC_SAN_FEE-18400510",1665039625024,"BP-BMC-2022-06-20-004900",NULL,NULL,NULL,NULL,58252.00,False,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039625024,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039625024,NULL,NULL,1641020387422,1672469987422,"eff70297-7a4f-4f5f-ac28-93b2f15d7a0a",NULL,1667692799024,"null"
"7bd99fba-d4bd-4f2a-b011-5da4cfd12949","od.bhubaneswar","778b88bc-63d8-4b1b-8640-1d71318d09cd","BPA.NC_SAN_FEE","BILLNO-BPA.NC_SAN_FEE-18423054",1665122330658,"BP-BMC-2022-06-20-004900",NULL,NULL,NULL,NULL,58252.00,False,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665122330658,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665122330658,NULL,NULL,1641016727787,1672466327787,"2b0d8b5f-2213-4b8b-a366-5bd1b4e12133",NULL,1667779199658,"null"
"f1af0117-832a-4167-8c22-2f956f23aa0f","od.bhubaneswar","778b88bc-63d8-4b1b-8640-1d71318d09cd","BPA.NC_SAN_FEE","BILLNO-BPA.NC_SAN_FEE-18423054",1665122330658,"BP-BMC-2022-06-20-004900",NULL,NULL,NULL,NULL,58252.00,False,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665122330658,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665122330658,NULL,NULL,1641018465985,1672468065985,"b0648e92-35b8-4985-89fd-6851c3302125",NULL,1667779199658,"null"
"2ec36f15-efd0-461f-9220-a61a3efc964b","od.bhubaneswar","778b88bc-63d8-4b1b-8640-1d71318d09cd","BPA.NC_SAN_FEE","BILLNO-BPA.NC_SAN_FEE-18423054",1665122330658,"BP-BMC-2022-06-20-004900",NULL,NULL,NULL,NULL,58252.00,False,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665122330658,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665122330658,NULL,NULL,1641018801584,1672468401584,"628b175a-4308-4be9-9bfb-7ffbe1fc8a4c",NULL,1667779199658,"null"
"42236b57-b40f-45b0-80bc-2f0ee4cadfff","od.bhubaneswar","778b88bc-63d8-4b1b-8640-1d71318d09cd","BPA.NC_SAN_FEE","BILLNO-BPA.NC_SAN_FEE-18423054",1665122330658,"BP-BMC-2022-06-20-004900",NULL,NULL,NULL,NULL,58252.00,False,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665122330658,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665122330658,NULL,NULL,1641019063241,1672468663241,"c61caa94-ce8e-4f4f-b2be-142f46c2227c",NULL,1667779199658,"null"
"05a6d201-55ba-41a9-9b36-a9b17a484d86","od.bhubaneswar","778b88bc-63d8-4b1b-8640-1d71318d09cd","BPA.NC_SAN_FEE","BILLNO-BPA.NC_SAN_FEE-18423054",1665122330658,"BP-BMC-2022-06-20-004900",NULL,NULL,NULL,NULL,58252.00,False,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665122330658,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665122330658,NULL,NULL,1641019305721,1672468905721,"5ec6d15d-b00f-4b87-b8d9-59c0b8a14b24",NULL,1667779199658,"null"
"6e6665cd-5137-42ef-b76d-b2fc16db6be3","od.bhubaneswar","778b88bc-63d8-4b1b-8640-1d71318d09cd","BPA.NC_SAN_FEE","BILLNO-BPA.NC_SAN_FEE-18423054",1665122330658,"BP-BMC-2022-06-20-004900",NULL,NULL,NULL,NULL,58252.00,False,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665122330658,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665122330658,NULL,NULL,1641020215609,1672469815609,"400cd2f3-cde6-48d3-b38a-a944b31d6652",NULL,1667779199658,"null"
"8f062c92-0206-47a0-89cf-201af8e669fb","od.bhubaneswar","778b88bc-63d8-4b1b-8640-1d71318d09cd","BPA.NC_SAN_FEE","BILLNO-BPA.NC_SAN_FEE-18423054",1665122330658,"BP-BMC-2022-06-20-004900",NULL,NULL,NULL,NULL,58252.00,False,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665122330658,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665122330658,NULL,NULL,1641020387422,1672469987422,"eff70297-7a4f-4f5f-ac28-93b2f15d7a0a",NULL,1667779199658,"null"
"f03973c4-dbe3-4b49-ab6e-0bef111d20ff","od.bhubaneswar","12a88506-f3bf-4662-a4a7-d3ff58c11e51","BPA.NC_SAN_FEE","BILLNO-BPA.NC_SAN_FEE-18476582",1665221331307,"BP-BMC-2022-06-20-004900",NULL,NULL,NULL,NULL,58252.00,False,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665221331307,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665221331307,NULL,NULL,1641016727787,1672466327787,"2b0d8b5f-2213-4b8b-a366-5bd1b4e12133",NULL,1667865599307,"null"
"722d9901-8409-4c65-a831-bda734146c32","od.bhubaneswar","12a88506-f3bf-4662-a4a7-d3ff58c11e51","BPA.NC_SAN_FEE","BILLNO-BPA.NC_SAN_FEE-18476582",1665221331307,"BP-BMC-2022-06-20-004900",NULL,NULL,NULL,NULL,58252.00,False,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665221331307,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665221331307,NULL,NULL,1641018465985,1672468065985,"b0648e92-35b8-4985-89fd-6851c3302125",NULL,1667865599307,"null"
