"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-12-000837","BPA1","2022-02-12",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-02-001304","BPA1","2022-03-02","2022-03-03","APPROVED","BP/BDA/000119","2022-04-23"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-12-003548","BPA1","2022-05-12","2022-05-13","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-12-000832","BPA2","2022-02-12","2022-02-14","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Berhampur","BP-BAM-2022-03-05-001404","BPA1","2022-03-05",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-03-05-001417","BPA1","2022-03-05",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-26-001961","BPA2","2022-03-26",NULL,"INITIATED",NULL,NULL
"Cuttack","BP-CTC-2022-07-20-006363","BPA2","2022-07-20","2022-07-21","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-08-002373","BPA2","2022-04-08",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-03-08-001490","BPA1","2022-03-08",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-05-001405","BPA1","2022-03-05","2022-03-07","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-03-02-001267","BPA1","2022-03-02","2022-03-02","APPROVED","BP/CTC/000066","2022-03-15"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-07-11-006007","BPA1","2022-07-11","2022-07-16","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-29-002007","BPA1","2022-03-29","2022-04-02","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Cuttack","BP-CTC-2022-03-10-001563","BPA2","2022-03-10","2022-03-16","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-12-002489","BPA2","2022-04-12",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-20-006362","BPA1","2022-07-20","2022-07-25","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-11-003488","BPA1","2022-05-11","2022-07-19","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-06-01-003975","BPA1","2022-06-01","2022-06-02","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Rourkela","BP-RRK-2022-02-28-001224","BPA2","2022-02-28",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-05-15-003621","BPA1","2022-05-15","2022-05-16","APPROVED","BP/BAM/000241","2022-06-10"
"Berhampur","BP-BAM-2022-02-12-000827","BPA1","2022-02-12","2022-02-12","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-01-000626","BPA2","2022-02-01","2022-02-01","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-02-001299","BPA1","2022-03-02","2022-03-03","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-26-001962","BPA3","2022-03-26",NULL,"INITIATED",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-05-05-003259","BPA1","2022-05-05","2022-05-05","APPROVED","BP/BED/000182","2022-05-12"
"Bhubaneswar","BP-BMC-2022-04-08-002374","BPA2","2022-04-08",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-25-001155","BPA1","2022-02-25","2022-03-01","APPROVED","BP/BMC/000281","2022-06-27"
"Vyasanagar","BP-VSN-2022-04-26-002895","BPA1","2022-04-26","2022-04-27","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-03-06-001419","BPA1","2022-03-06",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-26-001959","BPA2","2022-03-26","2022-03-26","APPROVAL_INPROGRESS",NULL,"2022-06-29"
"Bhubaneswar","BP-BMC-2022-03-29-002016","BPA2","2022-03-29","2022-03-29","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-06-18-004858","BPA2","2022-06-18",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-28-001226","BPA1","2022-02-28",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-02-02-000647","BPA1","2022-02-02","2022-02-02","APPROVED","BP/RRK/000046","2022-02-16"
"Berhampur","BP-BAM-2022-03-03-001320","BPA2","2022-03-03",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-02-001288","BPA1","2022-03-02",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-26-001963","BPA3","2022-03-26",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-30-002030","BPA1","2022-03-30","2022-04-11","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Rourkela","BP-RRK-2022-01-31-000610","BPA1","2022-01-31","2022-02-04","APPROVED","BP/RRK/000047","2022-02-17"
"Rourkela","BP-RRK-2022-02-12-000825","BPA1","2022-02-12","2022-02-12","APPROVED","BP/RRK/000048","2022-02-17"
"Berhampur","BP-BAM-2022-04-04-002174","BPA1","2022-04-04",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-10-001575","BPA1","2022-03-10","2022-03-14","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-31-002058","BPA2","2022-03-31","2022-03-31","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-06-001421","BPA2","2022-03-06","2022-03-06","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-23-005025","BPA1","2022-06-23",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-04-002164","BPA2","2022-04-04","2022-04-11","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-11-006008","BPA1","2022-07-11","2022-07-16","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2021-12-31-000235","BPA1","2021-12-31","2022-01-28","APPROVED","BP/CTC/000063","2022-03-09"
"Cuttack","BP-CTC-2022-04-12-002452","BPA1","2022-04-12","2022-04-12","APPROVED","BP/CTC/000136","2022-04-18"
"Bhubaneswar","BP-BMC-2022-03-16-001753","BPA1","2022-03-16",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-31-000605","BPA2","2022-01-31","2022-02-02","APPROVED","BP/BMC/000141","2022-04-29"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-14-000854","BPA1","2022-02-14",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-26-001964","BPA3","2022-03-26",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-05-12-003553","BPA1","2022-05-12",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-11-002417","BPA1","2022-04-11","2022-04-11","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-03-13-001644","BPA1","2022-03-13","2022-03-13","APPROVED","BP/BAM/000224","2022-06-06"
"Rourkela","BP-RRK-2022-04-04-002176","BPA2","2022-04-04",NULL,"INITIATED",NULL,NULL
"Cuttack","BP-CTC-2022-03-03-001331","BPA1","2022-03-03","2022-03-10","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-13-004665","BPA1","2022-06-13",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Cuttack","BP-CTC-2022-04-21-002685","BPA1","2022-04-21",NULL,"INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-21-002709","BPA1","2022-04-21",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-04-05-002226","BPA1","2022-04-05","2022-04-07","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-17-001801","BPA1","2022-03-17",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-08-001507","BPA1","2022-03-08",NULL,"INITIATED",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-07-27-006599","BPA1","2022-07-27","2022-07-27","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-06-12-004641","BPA1","2022-06-12",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-28-000573","BPA2","2022-01-28","2022-01-29","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-02-001287","BPA1","2022-03-02",NULL,"INITIATED",NULL,NULL
"Sambalpur","BP-SMB-2022-02-14-000871","BPA1","2022-02-14","2022-02-14","REJECTED",NULL,NULL
"Vyasanagar","BP-VSN-2022-04-26-002898","BPA1","2022-04-26",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-20-002668","BPA1","2022-04-20","2022-06-21","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2021-12-02-000171","BPA1","2021-12-02","2022-01-13","APPROVED","BP/CTC/000043","2022-02-14"
"Rourkela","BP-RRK-2022-02-13-000849","BPA1","2022-02-13",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
